Tag Length (Average tag length = 50.935481)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000025
4	0.000024
5	0.000023
6	0.000034
7	0.000035
8	0.000046
9	0.000044
10	0.000040
11	0.000042
12	0.000051
13	0.000038
14	0.000048
15	0.000052
16	0.000041
17	0.000043
18	0.000037
19	0.000037
20	0.000042
21	0.000045
22	0.000046
23	0.000044
24	0.000041
25	0.000041
26	0.000048
27	0.000053
28	0.000046
29	0.000040
30	0.000113
31	0.000091
32	0.000083
33	0.000078
34	0.000082
35	0.000091
36	0.000080
37	0.000141
38	0.000092
39	0.000104
40	0.000199
41	0.000147
42	0.000106
43	0.000152
44	0.000092
45	0.000089
46	0.000274
47	0.000211
48	0.000190
49	0.000616
50	0.000042
51	0.995821
